SELECT;Geometry Code;Layer;fclass;Description;OSM Tag;;;;;;
;2543;shopping;doityourself;A do-it-yourself shop where you;shop=doityourself and;;;;;;
;2544;shopping;furniture_shop;A furniture store.;shop=furniture;;;;;;
;2544;pois;furniture_shop;;;;;;;;
;2546;shopping;computer_shop;A computer shop.;shop=computer;;;;;;
;2561;shopping;hairdresser;A hair salon.;shop=hairdresser;;;;;;
;2564;shopping;car_wash;A car wash.;amenity=car_wash;;;;;;
;2566;shopping;bicycle_rental;A place where you can rent bicycles.;amenity='bicycle_rental';;;;;;
;2567;shopping;travel_agent;A travel agency;shop='travel_agency';;;;;;
;2568;shopping;laundry;A place where you can wash clothes or have them cleaned.;shop='laundry';;;;;;
;2590;shopping;vending_machine;An unspecified vending machine.;amenity='vending_machine';;;;;;
;2591;shopping;vending_cigarette;A cigarette vending machine.;amenity='vending_machine' and 'vending'='cigarettes';;;;;;
;2592;shopping;vending_parking;A vending machine for parking tickets.;amenity='vending_machine' and 'vending'='parking_tickets';;;;;;
;2952;miscpoi;water_tower;A water tower.;man_made=water_tower;;;;;;
;2953;miscpoi;tower_observation;An observation tower.;man_made=tower and;;;;;;
;2961;miscpoi;wastewater_plant;A wastewater treatment plant.;man_made=wastewater_pla;;;;;;
;2962;miscpoi;water_well;A facility to access underground;man_made=water_well;;;;;;
;2963;miscpoi;water_mill;A mill driven by water. Often;man_made=watermill;;;;;;
;2964;miscpoi;water_works;A place where drinking water is;man_made=water_works;;;;;;
;4131;natural;mine;A mine.;natural=mine;;;;;;
;4142;natural;mud;Mud ;natural='mud';;;;;;
;5201;traffic;traffic_signals;Traffic lights.;highway=traffic_signals;;;;;;
;5202;traffic;mini_roundabout;A small roundabout without physical;highway=mini_roundabou;;;;;;
;5203;traffic;stop;A stop sign.;highway=stop;;;;;;
;5205;traffic;ford;A place where the road runs through a;highway=ford;;;;;;
;5206;traffic;motorway_junction;The place where a slipway enters or leaves;highway=motorway_junct;;;;;;
;5207;traffic;turning_circle;An area at the end of a street where;highway=turning_circle;;;;;;
;5301;traffic;slipway;A slipway.;leisure=slipway;;;;;;
;5302;traffic;marina;A marina.;leisure=marina;;;;;;
;5303;traffic;pier;A pier.;man_made=pier;;;;;;
;5331;traffic;lock_gate;A lock gate.;waterway=lock_gate;;;;;;
;5332;traffic;weir;A barrier built across a river or stream.;waterway=weir;;;;;;
;7203;landuse;residential;A residential area.;landuse=residential;;;;;;
;7204;landuse;industrial;An industrial area.;landuse=industrial;;;;;;
;7205;landuse;farm;Agricultural land (farms and areas where crops are grown);landuse in ('farm', 'farmland', 'farmyard');;;;;;
;7207;landuse;allotments;An area with small private gardens.;landuse=allotments;;;;;;
;7208;landuse;meadow;A meadow, possibly used for grazing;landuse=meadow;;;;;;
;7213;landuse;military;Military landuse, usually no access for;landuse=military;;;;;;
;7214;landuse;quarry;A quarry.;landuse=quarry;;;;;;
;7215;landuse;orchard;An area used for growing fruit-bearing trees;landuse=orchard;;;;;;
;7221;landuse;basin;;;;;;;;
;7222;landuse;village_green;;;;;;;;
;7223;landuse;plant_nursery;;;;;;;;
;7224;landuse;brownfield;;;;;;;;
;7225;landuse;greenfield;;;;;;;;
;7226;landuse;construction;;;;;;;;
;8203;water;dock;Dock (to repair ships, don't confuse it with;waterway=dock;;;;;;
