,geometry,cluster
R11C75,"POLYGON ((12.055000241 45.055003406167195, 12.0475002445 45.055003406167195, 12.0475002445 45.0500034372764, 12.055000241 45.0500034372764, 12.055000241 45.055003406167195))",6
R11C76,"POLYGON ((12.0625002375 45.055003406167195, 12.055000241 45.055003406167195, 12.055000241 45.0500034372764, 12.0625002375 45.0500034372764, 12.0625002375 45.055003406167195))",6
R11C77,"POLYGON ((12.070000234 45.055003406167195, 12.0625002375 45.055003406167195, 12.0625002375 45.0500034372764, 12.070000234 45.0500034372764, 12.070000234 45.055003406167195))",6
R11C101,"POLYGON ((12.25000015 45.055003406167195, 12.2425001535 45.055003406167195, 12.2425001535 45.0500034372764, 12.25000015 45.0500034372764, 12.25000015 45.055003406167195))",6
R12C10,"POLYGON ((11.5675004685 45.06000337505799, 11.560000472 45.06000337505799, 11.560000472 45.055003406167195, 11.5675004685 45.055003406167195, 11.5675004685 45.06000337505799))",13
R12C21,"POLYGON ((11.65000043 45.06000337505799, 11.6425004335 45.06000337505799, 11.6425004335 45.055003406167195, 11.65000043 45.055003406167195, 11.65000043 45.06000337505799))",13
R12C40,"POLYGON ((11.7925003635 45.06000337505799, 11.785000367 45.06000337505799, 11.785000367 45.055003406167195, 11.7925003635 45.055003406167195, 11.7925003635 45.06000337505799))",11
R12C68,"POLYGON ((12.0025002655 45.06000337505799, 11.995000269 45.06000337505799, 11.995000269 45.055003406167195, 12.0025002655 45.055003406167195, 12.0025002655 45.06000337505799))",11
R12C72,"POLYGON ((12.0325002515 45.06000337505799, 12.025000255 45.06000337505799, 12.025000255 45.055003406167195, 12.0325002515 45.055003406167195, 12.0325002515 45.06000337505799))",11
R12C75,"POLYGON ((12.055000241 45.06000337505799, 12.0475002445 45.06000337505799, 12.0475002445 45.055003406167195, 12.055000241 45.055003406167195, 12.055000241 45.06000337505799))",6
R12C76,"POLYGON ((12.0625002375 45.06000337505799, 12.055000241 45.06000337505799, 12.055000241 45.055003406167195, 12.0625002375 45.055003406167195, 12.0625002375 45.06000337505799))",6
R12C77,"POLYGON ((12.070000234 45.06000337505799, 12.0625002375 45.06000337505799, 12.0625002375 45.055003406167195, 12.070000234 45.055003406167195, 12.070000234 45.06000337505799))",6
R12C82,"POLYGON ((12.1075002165 45.06000337505799, 12.10000022 45.06000337505799, 12.10000022 45.055003406167195, 12.1075002165 45.055003406167195, 12.1075002165 45.06000337505799))",6
R12C94,"POLYGON ((12.1975001745 45.06000337505799, 12.190000178 45.06000337505799, 12.190000178 45.055003406167195, 12.1975001745 45.055003406167195, 12.1975001745 45.06000337505799))",6
R12C103,"POLYGON ((12.265000143 45.06000337505799, 12.2575001465 45.06000337505799, 12.2575001465 45.055003406167195, 12.265000143 45.055003406167195, 12.265000143 45.06000337505799))",6
R12C115,"POLYGON ((12.355000101 45.06000337505799, 12.3475001045 45.06000337505799, 12.3475001045 45.055003406167195, 12.355000101 45.055003406167195, 12.355000101 45.06000337505799))",6
R13C22,"POLYGON ((11.6575004265 45.06500334394878, 11.65000043 45.06500334394878, 11.65000043 45.06000337505799, 11.6575004265 45.06000337505799, 11.6575004265 45.06500334394878))",13
R13C39,"POLYGON ((11.785000367 45.06500334394878, 11.7775003705 45.06500334394878, 11.7775003705 45.06000337505799, 11.785000367 45.06000337505799, 11.785000367 45.06500334394878))",11
R13C40,"POLYGON ((11.7925003635 45.06500334394878, 11.785000367 45.06500334394878, 11.785000367 45.06000337505799, 11.7925003635 45.06000337505799, 11.7925003635 45.06500334394878))",11
R13C41,"POLYGON ((11.80000036 45.06500334394878, 11.7925003635 45.06500334394878, 11.7925003635 45.06000337505799, 11.80000036 45.06000337505799, 11.80000036 45.06500334394878))",11
R13C42,"POLYGON ((11.8075003565 45.06500334394878, 11.80000036 45.06500334394878, 11.80000036 45.06000337505799, 11.8075003565 45.06000337505799, 11.8075003565 45.06500334394878))",11
R13C70,"POLYGON ((12.0175002585 45.06500334394878, 12.010000262 45.06500334394878, 12.010000262 45.06000337505799, 12.0175002585 45.06000337505799, 12.0175002585 45.06500334394878))",11
R13C75,"POLYGON ((12.055000241 45.06500334394878, 12.0475002445 45.06500334394878, 12.0475002445 45.06000337505799, 12.055000241 45.06000337505799, 12.055000241 45.06500334394878))",6
R13C114,"POLYGON ((12.3475001045 45.06500334394878, 12.340000108 45.06500334394878, 12.340000108 45.06000337505799, 12.3475001045 45.06000337505799, 12.3475001045 45.06500334394878))",6
R13C115,"POLYGON ((12.355000101 45.06500334394878, 12.3475001045 45.06500334394878, 12.3475001045 45.06000337505799, 12.355000101 45.06000337505799, 12.355000101 45.06500334394878))",6
R14C38,"POLYGON ((11.7775003705 45.070003312839575, 11.770000374 45.070003312839575, 11.770000374 45.06500334394878, 11.7775003705 45.06500334394878, 11.7775003705 45.070003312839575))",11
R14C39,"POLYGON ((11.785000367 45.070003312839575, 11.7775003705 45.070003312839575, 11.7775003705 45.06500334394878, 11.785000367 45.06500334394878, 11.785000367 45.070003312839575))",11
R14C40,"POLYGON ((11.7925003635 45.070003312839575, 11.785000367 45.070003312839575, 11.785000367 45.06500334394878, 11.7925003635 45.06500334394878, 11.7925003635 45.070003312839575))",11
R14C41,"POLYGON ((11.80000036 45.070003312839575, 11.7925003635 45.070003312839575, 11.7925003635 45.06500334394878, 11.80000036 45.06500334394878, 11.80000036 45.070003312839575))",11
R14C42,"POLYGON ((11.8075003565 45.070003312839575, 11.80000036 45.070003312839575, 11.80000036 45.06500334394878, 11.8075003565 45.06500334394878, 11.8075003565 45.070003312839575))",11
R14C46,"POLYGON ((11.8375003425 45.070003312839575, 11.830000346 45.070003312839575, 11.830000346 45.06500334394878, 11.8375003425 45.06500334394878, 11.8375003425 45.070003312839575))",11
R14C53,"POLYGON ((11.890000318 45.070003312839575, 11.8825003215 45.070003312839575, 11.8825003215 45.06500334394878, 11.890000318 45.06500334394878, 11.890000318 45.070003312839575))",11
